"Como se llama el actor, compa_ero de John Travolta en Pulp Fiction?",Samuel L. Jackson,al pacino,quentin tarantino,Samuel L. Jackson,1
Como se llama el burro que acompa_a siempre a Sherk?,escarabajo,burro,ara_a,burro,1
Como se llama la primera pregunta del se_or de los anillos?,La comunidad del anillo,la socieddad del anillo ,los amigos del anillo,La comunidad del anillo,1
"En la pelicula regreso del futuro, Como se llama objeto que funcionaba como maquina del tiempo?",una lampara,una lavadora,un coche,un coche,1
Nombre del personaje del padrino?,vito corleone,don corleone,ahijado,vito corleone,1
Como se llama el hijo de Han Solo y la princesa Leia?,luke,anakin,juan,anakin,1
Como se llama el actor que interpreta a Luke Skywalker?,Mark Hamill,John travolta,gene simmomns,Mark Hamill,1
Como se llama la nave de Han Solo?,el halcon milenario,big boy,halcon galactico,el halcon milenario,1
Que clase de pez es NEMO?,pez globo,pez espada,pez payaso,pez payaso,1
"Quien es el protagonista de ""X-MEN""?",wolverine,charles xavier,cyclops,wolverine,1
En que pelicula Anakin Skywalker se hace malo?,"starwars, Episodio V","starwars, Episodio II","starwars, Episodio III","starwars, Episodio III",1
En donde tiene Harry Potter su cicatriz?,en la mano,en la cabeza,en la cara,en la cara,1
La computadora este conformada por dos memorias basicas de las cuales una de ella mantiene los datos en forma temporal?,Memoria usb,disco duro,ram,ram,2
Para medir la informacion de un computador parte desde la menor cantidad de informacion que podemos almacenar,byte,octal,bit,bit,2
la evolucion de la inform_tica se debe a muchos cientificos e inventores de los cuales fue considerado el padre de la informatica?,Blaise Pascal,alan turing,Wilhelm Schickard,alan turing,2
Los monolitos son monumentos de una sola pieza de que material estan hechos?,barro,piedra,yeso,piedra,3
Cuantas son las tradicionales posadas decembrinas?,Ocho,Siete,Nueve,Nueve,3
Quien es el yerno de la suegra?,el esposo de su hija,el hermano de su esposo,el hijo de su nuera,el esposo de su hija,3
